1, 0
3, 116
5, 118
77, 120
1563, 124
1705, 129
1795, 134
3853, 136
5966, 141
6224, 159
6494, 163
6775, 164
7451, 166
7650, 167
7923, 169
7930, 171
7944, 176
8042, 180
8433, 185
11783, 187
12790, 188
12857, 189
14292, 191
20837, 192
21422, 193
27838, 194
38816, 195
49240, 195
60223, 195
1, 0
2, 123
3, 129
4, 129
5, 147
6, 153
7, 156
8, 158
9, 158
10, 160
11, 163
12, 164
13, 166
14, 166
15, 167
16, 167
17, 167
18, 167
19, 169
20, 174
21, 174
22, 178
23, 183
24, 185
25, 186
26, 186
654, 188
10034, 193
21291, 193
1, 0
2, 123
3, 129
4, 129
5, 147
6, 153
7, 156
8, 158
9, 158
10, 160
11, 163
12, 168
13, 169
14, 171
15, 171
16, 172
17, 172
18, 172
19, 172
20, 174
21, 179
22, 183
23, 183
24, 188
25, 190
26, 191
27, 191
7028, 193
17597, 194
27841, 194
33028, 194
42388, 195
