1, 5193, 5193
2, 5561, 5918
3, 5597, 6437
4, 6000, 8471
5, 6211, 10449
6, 6212, 10597
7, 6236, 11003
8, 6357, 11304
9, 6361, 11408
10, 6362, 11540
11, 6378, 11578
12, 6383, 11622
15, 6389, 11640
18, 6393, 11644
19, 6394, 11645
49, 6394, 11646
189, 6398, 11722
197, 6402, 11730
215, 6406, 11734
238, 6417, 11747
254, 6417, 11750
322, 6417, 11759
403, 6421, 11763
1475, 6421, 11765
1795, 6424, 11771
2782, 6424, 11773
2816, 6426, 11775
2834, 6484, 12202
2856, 6484, 12215
2857, 6489, 12222
2877, 6490, 12228
3139, 6490, 12234
4199, 6490, 12250
4738, 6490, 12250
6622, 6490, 12250
7725, 6490, 12252
7768, 6490, 12252
7897, 6490, 12253
9863, 6490, 12253
9955, 6492, 12255
9992, 6494, 12257
10604, 6499, 12490
10662, 6499, 12490
12433, 6499, 12490
14040, 6499, 12490
15710, 6499, 12490
17508, 6499, 12490
17527, 6501, 12493
18864, 6501, 12493
20455, 6501, 12493
20482, 6507, 12499
22074, 6507, 12499
22601, 6510, 12502
23255, 6510, 12502
24685, 6510, 12502
26803, 6510, 12502
27887, 6510, 12502
28971, 6510, 12502
29118, 6510, 12503
31311, 6510, 12503
31725, 6510, 12505
34115, 6510, 12505
35319, 6510, 12505
36495, 6510, 12505
37723, 6510, 12505
38831, 6510, 12505
39646, 6511, 12506
39668, 6511, 12506
39686, 6511, 12506
41447, 6511, 12506
43499, 6511, 12506
45860, 6511, 12506
47915, 6511, 12506
50033, 6511, 12506
52313, 6511, 12506
54723, 6511, 12506
56920, 6511, 12506
59210, 6511, 12506
61504, 6511, 12506
63716, 6511, 12506
66059, 6511, 12506
68366, 6511, 12506
70496, 6511, 12506
72649, 6511, 12506
74944, 6511, 12506
77333, 6511, 12506
79639, 6511, 12506
81884, 6511, 12506
83017, 6513, 12508
85104, 6513, 12508
87119, 6513, 12508
89111, 6513, 12508
91175, 6513, 12508
93266, 6513, 12508
94702, 6513, 12508
96277, 6513, 12508
97918, 6513, 12508
99491, 6513, 12508
101058, 6513, 12508
102742, 6513, 12508
104381, 6513, 12508
105899, 6513, 12508
107414, 6513, 12508
108961, 6513, 12508
110434, 6513, 12508
112443, 6513, 12508
114355, 6513, 12508
116338, 6513, 12508
116766, 6513, 12667
116767, 6623, 12788
116768, 6623, 13058
116774, 6635, 13070
116775, 6637, 13074
116786, 6637, 13149
116792, 6644, 13162
116806, 6718, 13275
116821, 6718, 13275
116854, 6718, 13275
116868, 6718, 13275
116886, 6718, 13275
116899, 6719, 13276
116905, 6720, 13277
116906, 6721, 13283
116930, 6749, 13344
116933, 6749, 13612
116943, 6749, 13616
116962, 6767, 13636
116973, 6796, 13832
116991, 6803, 13839
117001, 6803, 13868
117026, 6803, 13868
117057, 6803, 13868
117078, 6803, 13868
117122, 6803, 13868
117137, 6812, 13895
117156, 6814, 13897
117158, 6814, 14078
117184, 6814, 14078
117204, 6814, 14078
117229, 6814, 14078
117258, 6814, 14078
117278, 6815, 14079
117280, 6815, 14079
117288, 6820, 14084
117305, 6820, 14085
117326, 6821, 14086
117366, 6821, 14086
117422, 6821, 14086
117453, 6823, 14088
117457, 6823, 14133
117460, 6823, 14207
117477, 6823, 14207
117498, 6823, 14207
117513, 6823, 14382
117527, 6823, 14382
117543, 6827, 14406
117546, 6827, 14420
117570, 6828, 14421
117573, 6829, 14441
117576, 6829, 14449
