1, 313, 313
2, 398, 454
3, 398, 454
4, 514, 571
5, 530, 720
7, 798, 1006
8, 827, 1054
14, 827, 1055
22, 1255, 1489
23, 1255, 1491
27, 1255, 1493
29, 1255, 1675
55, 1255, 1676
115, 1255, 1852
120, 1255, 1853
167, 1255, 1900
209, 1255, 1904
212, 1259, 1908
421, 1259, 1909
1267, 1259, 1910
1326, 1261, 1929
1331, 1261, 1930
1381, 1261, 1944
2711, 1261, 1944
4064, 1261, 1944
4614, 1261, 1945
5921, 1261, 1945
7226, 1261, 1945
8517, 1261, 1945
9762, 1261, 1945
10208, 1261, 1948
11015, 1261, 1960
12227, 1261, 1960
13515, 1261, 1960
14754, 1261, 1960
15983, 1261, 1960
17148, 1261, 1960
18401, 1261, 1960
19569, 1261, 1960
